basin,cnty_abbr,name,prelim_yn,county_name,site,state,latitude,longitude,aqs_id,qa_id,district,met_id,elevation,address,city,zip_code,pm25hourly2016obs 
GBV,INY,Bishop-Line,N,Inyo,2116,CA,37.360750000000003,-118.3308,060270002,,GBU,BSH04,1238,300 East Line Street,Bishop                          ,93514,8635 
GBV,INY,Keeler-Cerro Gordo Road,N,Inyo,3154,CA,36.487850000000002,-117.87103999999999,060271003,14728,GBU,KLR02,1114,190 Cerro Gordo Road,Keeler                          ,93530,8593 
LT ,PLA,Tahoe City-221 Fairway Drive,N,Placer,3802,CA,39.166020000000003,-120.14883,060611004,31819,PLA,,1916,221 Fairway Drive,Tahoe City                      ,96145,8183 
MC ,CAL,San Andreas-Gold Strike Road,N,Calaveras,3144,CA,38.20185,-120.680277,060090001,05633,CAL,SAD,300,501 Gold Strike Road,San Andreas,95249,8360 
MC ,MPA,Yosemite Village-Visitor Center,N,Mariposa,2353,CA,37.748707000000003,-119.58709399999999,060431001,22742,MPA,YOS05,1222,Yosemite Village,Yosemite Valley,95389,7942 
MC ,NEV,Grass Valley-Litton Building,N,Nevada,3126,CA,39.233519999999999,-121.05567000000001,060570005,29800,NSI,GVL04,865,200 Litton Drive,Grass Valley                    ,95945,8508 
MC ,NEV,Truckee-Fire Station,N,Nevada,2208,CA,39.327820000000003,-120.18459,060571001,29794,NSI,TRK02,1777,10049 Donner Pass Road,Truckee,96161,7412 
MC ,PLA,Colfax-City Hall,N,Placer,3002,CA,39.099789999999999,-120.95390999999999,060610004,31818,PLA,CFX02,738,33 South Main Street,Colfax,95713,8719 
MC ,PLU,Chester-222 1st Avenue,N,Plumas,3128,CA,40.309649999999998,-121.22785,060631007,32823,NSI,CHS02,1381,222 First Avenue,Chester,96020,8641 
MC ,PLU,Portola-Gulling Street                  ,N,Plumas,3801,CA,39.813355999999999,-120.470691,060631010,32826,NSI,,1492,420 Gulling Street                                          ,Portola,96122,8366 
MC ,PLU,Quincy-N Church Street,N,Plumas,3020,CA,39.939570000000003,-120.94438,060631006,32821,NSI,QUI07,1042,267 N Church Street,Quincy,95971,8557 
MD ,KER,Mojave-923 Poole Street,N,Kern,3121,CA,35.050449999999998,-118.14778,060290011,15252,KER,MOJ02,835,923 Poole Street,Mojave                          ,93501,8441 
MD ,LA,Lancaster-43301 Division Street,N,Los Angeles,3658,CA,34.669589999999999,-118.13068,060379033,70301,AV,,750,43301 Division Street,Lancaster                       ,93535,8582 
MD ,SBD,Victorville-14306 Park Avenue,N,San Bernardino,3500,CA,34.510959999999997,-117.32555000000001,060710306,36306,MD,VIC01,913,14306 Park Avenue,Victorville                     ,92392,14332 
MEX,MXM,Mexicali-Cobach,N,Mexicali Area,3203,MX,32.640300000000003,-115.506,800020014,,SDU,MML03,,Cobach; Colegio De Bachilleres,,,5439 
MEX,MXM,Mexicali-UABC,N,Mexicali Area,3201,MX,32.629199999999997,-115.446,800020012,,SDU,MML10,0,UABC; Calzada Benito Juarez,,,11450 
NC ,DN,Crescent City-880 Northcrest Drive,N,Del Norte,3217,CA,41.764498000000003,-124.19986900000001,060150006,08657,NCU,CRC03,5,880 Northcrest Drive,Crescent City                   ,95531,0 
NC ,DN,CRESCENT CITY-CRESCENT ELK SCHOOL       ,N,Del Norte,3839,CA,41.756129999999999,-124.20347,060150007,,NCU,,18,994 G Street; Crescent City; CA 95531                       ,Crescent City                   ,95531,2141 
NC ,HUM,Eureka-Humboldt Hill                    ,N,Humboldt,3779,CA,40.715269999999997,-124.20149000000001,060231005,12507,NCU,,165,7333 Humboldt Hill Road                                     ,Eureka                          ,95503,8326 
NC ,MEN,Ukiah-County Library,N,Mendocino,2271,CA,39.150472999999998,-123.206548,060450006,23764,MEN,UKI04,196,Library; 105 North Main Street,Ukiah                           ,95482,8581 
NC ,MEN,Willits-125 E Commercial Street,N,Mendocino,3765,CA,39.411738,-123.352638,060452002,23754,MEN,,424,125 East Commercial Street,Willits                         ,95490,8003 
NC ,TRI,Weaverville-Courthouse,N,Trinity,3132,CA,40.734749999999998,-122.94117,061050002,53915,NCU,WVL03,631,Main Street,Weaverville                     ,96093,4982 
NCC,MNT,Carmel Valley-Ford Road,N,Monterey,2016,CA,36.481870000000001,-121.73333,060530002,27550,MBU,CML02,134,35 Ford Road,Carmel Valley,93924,8520 
